generation,best_fitness,avg_fitness,stdev
0,2074.2169996973325,-852.6367221510578,512.8004155169853
1,2074.2169996973325,-818.7850247265326,524.9393246607665
2,2074.2169996973325,-715.2640735140875,707.3932810060434
3,2074.2169996973325,-673.3072855775566,777.0718720715254
4,2074.2169996973325,-292.93004200195634,1063.0386546305647
5,2074.2169996973325,-188.74858769219782,1208.5916615225542
6,2074.2170078293916,179.66408055325348,1287.9711171966644
7,2074.2170078293916,-97.49431580410646,1260.2904508509375
8,2074.2170078293916,-195.7558925964241,1230.3024697409462
9,2074.2170202768866,328.2683154285006,1332.3572518750843
10,2074.2214755784826,446.91085305398866,1382.9434165129478
11,2074.2214755784826,57.48860180771552,1245.4867248076478
12,2074.2214755784826,78.7606818081985,1375.9790062050552
13,2074.2214755784826,8.453722020593787,1262.9816088596026
14,2074.2214755784826,131.51194895778607,1322.4168659302804
15,2074.2214755784826,85.6692834571752,1248.0757928526846
16,2074.2214755784826,6.094256120544016,1277.7484333926482
17,2074.2214755784826,244.0709511540674,1349.676539638139
18,2074.2214755784826,108.4681259809978,1330.0588694135447
19,2074.5239881214657,31.496559229186666,1329.1137536885994
20,2075.3535851531765,22.265025333337736,1275.4199030004534
21,2075.3535851531765,142.78530761767152,1379.0570190108847
22,2075.3535851531765,38.336665775009514,1285.7802522500128
23,2075.3535851531765,141.94372576984486,1408.8202312499102
24,2075.3535851531765,226.63390212850777,1372.157005801545
25,2075.3535851531765,-55.276624899648205,1282.6534441898143
26,2075.3535851531765,447.1033423249195,1406.7298288837806
27,2075.3535851531765,177.549880878385,1368.272881238128
28,2076.8991619307462,24.199127743009313,1253.6143386730012
29,2102.377847225137,-261.2467503946376,1210.2334040676633
30,2168.439194261648,-144.94719690740547,1235.197905100981
31,2168.439194261648,-22.394068554915986,1393.1825540133002
32,2168.439194261648,324.08999443320715,1484.3744839117276
33,2168.439194261648,896.3288339354414,1510.8657184080162
34,2177.609027630756,1108.541751151906,1462.3668377392962
35,2177.609027630756,830.0357643401356,1537.2634749763827
36,2177.609027630756,827.9234670293,1543.5097023827198
37,2177.609027630756,731.1906505114861,1515.9061350197492
38,2177.609027630756,910.0773293308613,1505.9498338104238
39,2177.609027630756,837.2349850073141,1510.5443899784188
40,2177.609027630756,931.6025810683155,1512.7896708603105
41,2177.609027630756,929.423124500388,1488.9284082894499
42,2177.609027630756,591.6102622987888,1551.6567440144386
43,2177.609027630756,496.3366767484455,1535.5059252715678
44,2187.694764866439,992.8595248417937,1476.8403248124716
45,2187.694764866439,572.9858552538392,1521.7719595089386
46,2187.694764866439,621.6343117587434,1526.9132048495164
47,2187.694764866439,746.5387967927563,1532.211007255481
48,2187.694764866439,840.4618801856464,1531.415139826096
49,2187.694764866439,369.6737308217775,1519.7036634201495
50,2187.694764866439,474.09970164146864,1526.4350036160915
51,2187.694764866439,573.8498574041417,1527.6031089135918
52,2187.694764866439,520.823489774593,1542.5094425252184
53,2187.694764866439,702.958348209828,1529.4317623648603
54,2187.694764866439,585.1119492441118,1550.9676246556385
55,2187.694764866439,414.27130494199014,1520.3624633882175
56,2187.694764866439,782.7915995306132,1540.5616839351962
57,2187.694764866439,715.366264178584,1546.496034385768
58,2187.694764866439,673.663027184401,1535.7136961590156
59,2187.694764866439,993.2188847533527,1475.3466331986028
60,2187.694764866439,734.1485787040639,1505.8142474958977
61,2187.694764866439,757.889310374094,1536.5971049136388
62,2187.694764866439,819.901994559925,1516.2655671484863
63,2187.694764866439,433.32586290919653,1539.8141683187357
64,2187.694764866439,678.1869615211772,1542.242395823212
65,2187.694764866439,943.4388961984248,1506.439148518978
66,2187.694764866439,717.2296589249682,1523.6396442026028
67,2187.694764866439,726.2344909631241,1529.9155943790051
68,2187.694764866439,635.7006700696102,1542.8557661952632
69,2187.694764866439,709.3903218061096,1539.464582219816
70,2187.694764866439,892.9756069457997,1492.7874989616782
71,2200.1097455835175,1060.2412150965226,1425.896131286277
72,2200.1097455835175,521.0735242539968,1518.1305579116026
73,2200.1097455835175,666.533674038472,1504.0018600373362
74,2283.483488864767,1151.4608900110347,1431.4927638308575
75,2283.483488864767,823.3551503804332,1450.442911925688
76,2283.483488864767,695.6317281287211,1502.5529106276022
77,2283.483488864767,739.8367551951405,1520.8352117797183
78,2283.483488864767,987.0520034425585,1488.0308980370717
79,2283.483488864767,726.0827213106847,1513.467792171893
80,2283.483488864767,875.2414768819938,1491.3626327589714
81,2283.483488864767,827.2797242771517,1519.1722076425513
82,2283.483488864767,970.6975384324946,1478.6898377772836
83,2283.483488864767,763.7478489091951,1538.4671766656172
84,2283.483488864767,741.3614268306197,1524.8488251003555
85,2283.483488864767,361.59190874940214,1495.1433188879662
86,2283.483488864767,733.7924943330016,1512.0108977177376
87,2283.483488864767,657.7715623192299,1538.9647594391374
88,2283.483488864767,313.12081544508925,1513.9207452117396
89,2283.483488864767,575.9532713421177,1520.934131122248
90,2283.483488864767,695.1113076521656,1500.3230817462968
91,2283.483488864767,504.71407246678456,1522.7417956065117
92,2283.483488864767,531.1002831411777,1490.4234526319124
93,2283.483488864767,755.6084399568662,1507.912743388343
94,2283.483488864767,431.7597602983447,1534.7006047471007
95,2283.483488864767,875.9098733906917,1493.5905599375144
96,2283.483488864767,1042.7574986581858,1494.2190589887016
97,2283.483488864767,544.0841882076762,1510.2645405627263
98,2283.483488864767,694.2187075133037,1533.8566426296902
99,2283.483488864767,743.4366792342455,1530.2195018824145
